OrderDetailID,OrderID,ProductID,Quantity,Price
OD000001,O00001,P0064,1,29997.92
OD000002,O00001,P0157,2,318.02
OD000003,O00001,P0035,2,88647.62
OD000004,O00001,P0195,3,115124.85
OD000005,O00001,P0259,3,93443.4
OD000006,O00002,P0106,2,66852.6
OD000007,O00002,P0242,2,59124.2
OD000008,O00002,P0433,3,115158.93
OD000009,O00003,P0275,1,40260.94
OD000010,O00003,P0249,1,16905.35
OD000011,O00004,P0126,2,57499.02
OD000012,O00004,P0048,2,31938.52
OD000013,O00005,P0034,3,70359.51
OD000014,O00005,P0153,3,141786.9
OD000015,O00005,P0272,3,143854.62
OD000016,O00005,P0142,2,85253.04
OD000017,O00006,P0326,3,56860.47
OD000018,O00006,P0497,1,14070.95
OD000019,O00006,P0117,2,3584.78
OD000020,O00006,P0176,1,30664.46
OD000021,O00007,P0407,1,15477.24
OD000022,O00007,P0040,1,27945.65
OD000023,O00007,P0083,3,102439.89
OD000024,O00007,P0117,3,5377.17
OD000025,O00007,P0399,2,16717.48
OD000026,O00008,P0400,2,48102.82
OD000027,O00008,P0009,3,96404.85
OD000028,O00008,P0057,2,64072.7
OD000029,O00008,P0303,1,45811.55
OD000030,O00009,P0009,1,32134.95
OD000031,O00009,P0005,1,17555.54
OD000032,O00009,P0254,3,95345.01
OD000033,O00009,P0279,1,22978.31
OD000034,O00009,P0116,2,14367.78
OD000035,O00010,P0456,2,64057.32
OD000036,O00010,P0353,1,12904.16
OD000037,O00010,P0085,2,66366.56
OD000038,O00010,P0221,2,50053.38
OD000039,O00010,P0044,1,29870.75
OD000040,O00011,P0234,1,31655.12
OD000041,O00011,P0117,2,3584.78
OD000042,O00011,P0362,2,36407.72
OD000043,O00011,P0014,1,46778.4
OD000044,O00011,P0152,1,24420.94
OD000045,O00012,P0336,3,73020.45
OD000046,O00012,P0090,2,9082.44
OD000047,O00012,P0495,2,35363.1
OD000048,O00012,P0221,2,50053.38
OD000049,O00012,P0309,3,14988.09
OD000050,O00013,P0082,1,26893.32
OD000051,O00013,P0002,3,89430.96
OD000052,O00013,P0090,3,13623.66
OD000053,O00014,P0303,3,137434.65
OD000054,O00014,P0310,1,32555.16
OD000055,O00014,P0453,1,34440.96
OD000056,O00015,P0387,1,37111.49
OD000057,O00015,P0231,1,36040.9
OD000058,O00015,P0385,1,5603.28
OD000059,O00016,P0312,2,53932.56
OD000060,O00016,P0292,2,12783.32
OD000061,O00016,P0041,1,6624.75
OD000062,O00016,P0195,2,76749.9
OD000063,O00016,P0072,3,91758.27
OD000064,O00017,P0340,1,47305.7
OD000065,O00017,P0345,2,56514.24
OD000066,O00017,P0147,2,7030.5
OD000067,O00018,P0165,2,74513.26
OD000068,O00018,P0124,3,115938.09
OD000069,O00018,P0359,1,17296.21
OD000070,O00018,P0304,1,4472.77
OD000071,O00019,P0215,1,12235.32
OD000072,O00019,P0040,3,83836.95
OD000073,O00019,P0338,3,114213.24
OD000074,O00020,P0255,3,67473.18
OD000075,O00020,P0221,1,25026.69
OD000076,O00020,P0290,3,79248.24
OD000077,O00020,P0428,1,36183.78
OD000078,O00020,P0303,1,45811.55
OD000079,O00021,P0381,1,20362.89
OD000080,O00021,P0102,3,125107.26
OD000081,O00021,P0284,3,28576.68
OD000082,O00021,P0252,2,55679.46
OD000083,O00022,P0267,2,74251.86
OD000084,O00022,P0156,2,74164.72
OD000085,O00022,P0367,1,45671.59
OD000086,O00022,P0402,1,5152.16
OD000087,O00022,P0432,1,21473.93
OD000088,O00023,P0191,1,4114.1
OD000089,O00024,P0229,3,55491.21
OD000090,O00024,P0106,1,33426.3
OD000091,O00025,P0269,1,34902.62
OD000092,O00025,P0058,3,59553.18
OD000093,O00025,P0153,3,141786.9
OD000094,O00025,P0141,3,26411.58
OD000095,O00026,P0146,3,54358.47
OD000096,O00027,P0135,2,55538.56
OD000097,O00027,P0464,2,79150.34
OD000098,O00027,P0377,2,31018.98
OD000099,O00027,P0031,1,3707.32
OD000100,O00027,P0016,2,91677.02
OD000101,O00028,P0443,3,9082.47
OD000102,O00028,P0257,2,35772.98
OD000103,O00028,P0125,3,134926.98
OD000104,O00028,P0057,3,96109.05
OD000105,O00029,P0393,1,20161.69
OD000106,O00029,P0437,1,16672.54
OD000107,O00029,P0497,2,28141.9
OD000108,O00029,P0243,2,79058.8
OD000109,O00029,P0340,1,47305.7
OD000110,O00030,P0459,1,5875.98
OD000111,O00031,P0007,1,3639.73
OD000112,O00032,P0310,1,32555.16
OD000113,O00032,P0204,1,36853.4
OD000114,O00032,P0475,2,71887.36
