OrderID,CustomerID,OrderDate
O00001,C0277,16-04-2025
O00002,C0935,24-01-2025
O00003,C0424,01-12-2024
O00004,C0365,28-01-2025
O00005,C0867,17-05-2025
O00006,C0545,09-03-2025
O00007,C0304,04-01-2025
O00008,C0193,23-07-2025
O00009,C0946,13-02-2025
O00010,C0094,17-05-2025
O00011,C0732,27-12-2024
O00012,C0329,05-03-2025
O00013,C0913,14-11-2024
O00014,C0283,26-08-2025
O00015,C0195,08-11-2024
O00016,C0527,02-05-2025
O00017,C0363,05-09-2024
O00018,C0378,05-05-2025
O00019,C0430,22-05-2025
O00020,C0244,07-02-2025
O00021,C0288,11-03-2025
O00022,C0672,06-06-2025
O00023,C0338,26-08-2025
O00024,C0387,24-01-2025
O00025,C0022,02-03-2025
O00026,C0847,20-09-2024
O00027,C0804,29-09-2024
O00028,C0332,11-09-2024
O00029,C0418,30-07-2025
O00030,C0689,19-05-2025
O00031,C0946,06-01-2025
O00032,C0868,27-07-2025
O00033,C0988,20-08-2025
O00034,C0903,13-01-2025
O00035,C0420,02-10-2024
O00036,C0337,23-02-2025
O00037,C0787,20-02-2025
O00038,C0016,30-05-2025
O00039,C0190,25-01-2025
O00040,C0050,18-07-2025
O00041,C0448,06-10-2024
O00042,C0763,05-02-2025
O00043,C0045,18-07-2025
O00044,C0456,05-11-2024
O00045,C0919,08-01-2025
O00046,C0824,31-12-2024
O00047,C0149,26-02-2025
O00048,C0397,13-02-2025
O00049,C0615,08-01-2025
O00050,C0108,10-05-2025
O00051,C0292,16-07-2025
O00052,C0310,13-07-2025
O00053,C0607,21-03-2025
O00054,C0687,12-01-2025
O00055,C0451,07-02-2025
O00056,C0177,06-10-2024
O00057,C0941,04-06-2025
O00058,C0899,03-02-2025
O00059,C0812,29-12-2024
O00060,C0425,09-07-2025
O00061,C0763,01-01-2025
O00062,C0033,13-11-2024
O00063,C0372,31-10-2024
O00064,C0905,21-02-2025
O00065,C0604,25-03-2025
O00066,C0968,15-03-2025
O00067,C0596,11-07-2025
O00068,C0568,13-11-2024
O00069,C0590,08-07-2025
O00070,C0757,23-02-2025
O00071,C0543,16-05-2025
O00072,C0205,04-11-2024
O00073,C0142,19-08-2025
O00074,C0257,26-02-2025
O00075,C0402,03-07-2025
O00076,C0502,21-11-2024
O00077,C0288,22-01-2025
O00078,C0607,14-11-2024
O00079,C0577,23-08-2025
O00080,C0220,18-01-2025
O00081,C0569,21-12-2024
O00082,C0563,19-05-2025
O00083,C0859,13-11-2024
O00084,C0635,07-04-2025
O00085,C0118,21-02-2025
O00086,C0403,26-10-2024
O00087,C0115,02-09-2025
O00088,C0512,23-11-2024
O00089,C0238,21-06-2025
O00090,C0041,02-06-2025
O00091,C0727,06-03-2025
O00092,C0963,10-10-2024
O00093,C0743,24-03-2025
O00094,C0885,21-01-2025
O00095,C0833,08-06-2025
O00096,C0930,12-11-2024
O00097,C0979,07-05-2025
O00098,C0290,08-09-2024
O00099,C0458,23-05-2025
O00100,C0835,03-05-2025
O00101,C0660,21-08-2025
O00102,C0013,27-02-2025
O00103,C0259,12-07-2025
O00104,C0374,05-10-2024
O00105,C0004,26-07-2025
O00106,C0484,24-01-2025
O00107,C0686,17-10-2024
O00108,C0063,16-03-2025
O00109,C0468,19-08-2025
O00110,C0563,23-09-2024
O00111,C0933,21-01-2025
O00112,C0599,14-08-2025
O00113,C0718,05-11-2024
O00114,C0696,05-09-2024
O00115,C0361,22-10-2024
O00116,C0819,30-10-2024
O00117,C0490,05-09-2025
O00118,C0268,18-01-2025
O00119,C0448,22-11-2024
O00120,C0321,28-07-2025
O00121,C0303,11-10-2024
O00122,C0543,25-07-2025
O00123,C0111,22-01-2025
O00124,C0527,23-06-2025
O00125,C0826,07-12-2024
O00126,C0477,16-09-2024
O00127,C0772,25-08-2025
O00128,C0221,14-01-2025
O00129,C0699,01-11-2024
O00130,C0064,08-04-2025
O00131,C0751,18-08-2025
O00132,C0043,22-11-2024
O00133,C0821,10-12-2024
O00134,C0434,20-12-2024
O00135,C0950,22-06-2025
O00136,C0697,31-03-2025
O00137,C0697,03-01-2025
O00138,C0897,20-10-2024
O00139,C0587,29-08-2025
O00140,C0122,03-09-2025
O00141,C0587,02-12-2024
O00142,C0672,26-03-2025
O00143,C0146,03-04-2025
O00144,C0658,29-09-2024
O00145,C0801,29-05-2025
O00146,C0446,24-04-2025
O00147,C0332,18-07-2025
O00148,C0113,30-10-2024
O00149,C0169,12-05-2025
O00150,C0303,10-02-2025
O00151,C0551,15-02-2025
