Department,Designation,Experience,CollegeTier,Salary
IT,Lead,6,Tier 1,1310795
Finance,Senior Dev,14,Tier 2,1608343
Support,Manager,6,Tier 2,1362265
IT,Lead,18,Tier 1,2232194
Finance,Director,10,Tier 2,1997191
IT,Associate,3,Tier 2,624023
IT,Senior Dev,2,Tier 3,691685
Marketing,Analyst,1,Tier 2,425735
Finance,Senior Dev,11,Tier 2,1412101
Sales,Intern,1,Tier 2,261311
Support,Intern,0,Tier 1,273707
HR,Director,11,Tier 2,2043480
Sales,Director,16,Tier 3,2171434
Operations,Intern,9,Tier 3,728431
Support,Lead,15,Tier 3,1629150
Finance,Associate,14,Tier 3,1245773
Operations,Analyst,18,Tier 2,1489899
Finance,Senior Dev,19,Tier 1,2176551
HR,Lead,2,Tier 3,793556
Finance,Lead,18,Tier 3,1791606
HR,Senior Dev,8,Tier 1,1334502
Marketing,Intern,17,Tier 3,1200627
Operations,Intern,13,Tier 3,958433
Support,Analyst,8,Tier 2,851897
HR,Associate,1,Tier 2,534707
HR,Manager,14,Tier 2,1907483
Marketing,Lead,6,Tier 2,1184555
Support,Lead,7,Tier 3,1134974
Operations,Lead,2,Tier 1,1009541
Sales,Associate,16,Tier 3,1356531
Support,Director,17,Tier 2,2415943
IT,Analyst,3,Tier 2,517457
Sales,Associate,5,Tier 1,888573
Operations,Lead,9,Tier 3,1262995
Operations,Lead,17,Tier 3,1696873
Finance,Senior Dev,11,Tier 2,1356161
HR,Director,9,Tier 3,1736557
Sales,Associate,3,Tier 3,582606
Sales,Lead,15,Tier 2,1741534
Finance,Intern,7,Tier 2,692397
Sales,Lead,7,Tier 1,1394276
Marketing,Director,15,Tier 3,2094300
Finance,Senior Dev,17,Tier 1,2012262
Operations,Analyst,12,Tier 3,1029976
Marketing,Senior Dev,14,Tier 1,1819216
Finance,Intern,6,Tier 3,532568
Marketing,Associate,0,Tier 2,412027
Operations,Associate,7,Tier 1,1053839
Sales,Associate,10,Tier 1,1242002
IT,Associate,16,Tier 2,1499159
Sales,Senior Dev,2,Tier 3,702666
HR,Analyst,4,Tier 2,567561
Support,Manager,6,Tier 1,1583952
HR,Analyst,6,Tier 2,704392
Operations,Associate,7,Tier 1,1008067
Operations,Lead,1,Tier 1,972256
HR,Senior Dev,15,Tier 2,1655222
Support,Associate,4,Tier 3,640818
Sales,Senior Dev,11,Tier 2,1366965
HR,Manager,2,Tier 1,1250056
Marketing,Associate,2,Tier 1,667716
Marketing,Analyst,14,Tier 2,1237773
HR,Senior Dev,2,Tier 2,814992
Support,Senior Dev,4,Tier 1,1076537
Marketing,Senior Dev,13,Tier 3,1375446
Finance,Intern,8,Tier 3,650206
Operations,Associate,14,Tier 3,1232361
IT,Senior Dev,9,Tier 2,1247419
Support,Director,12,Tier 3,1947010
HR,Senior Dev,6,Tier 2,1082560
Marketing,Associate,19,Tier 2,1718268
Support,Intern,3,Tier 3,368141
IT,Associate,4,Tier 3,650342
IT,Lead,6,Tier 1,1351044
Marketing,Intern,14,Tier 2,1166394
Support,Senior Dev,3,Tier 3,805820
HR,Manager,6,Tier 1,1554914
HR,Analyst,18,Tier 1,1747309
Marketing,Intern,1,Tier 1,338689
HR,Manager,12,Tier 2,1794557
Finance,Intern,5,Tier 2,549467
Support,Intern,11,Tier 3,833627
Operations,Analyst,19,Tier 3,1458925
Marketing,Associate,10,Tier 1,1238047
Marketing,Director,6,Tier 2,1745581
HR,Intern,0,Tier 1,250080
IT,Senior Dev,19,Tier 2,1939016
Marketing,Associate,2,Tier 1,660294
Operations,Analyst,5,Tier 3,591959
Operations,Manager,8,Tier 1,1748565
Finance,Lead,4,Tier 3,941968
Support,Manager,18,Tier 3,1963545
