EmployeeID,Department,Designation,Experience,CollegeTier,Salary
1,IT,Lead,6,Tier 1,1310795
2,Finance,Senior Dev,14,Tier 2,1608343
3,Support,Manager,6,Tier 2,1362265
4,IT,Lead,18,Tier 1,2232194
5,Finance,Director,10,Tier 2,1997191
6,IT,Associate,3,Tier 2,624023
7,IT,Senior Dev,2,Tier 3,691685
8,Marketing,Analyst,1,Tier 2,425735
9,Finance,Senior Dev,11,Tier 2,1412101
10,Sales,Intern,1,Tier 2,261311
11,Support,Intern,0,Tier 1,273707
12,HR,Director,11,Tier 2,2043480
13,Sales,Director,16,Tier 3,2171434
14,Operations,Intern,9,Tier 3,728431
15,Support,Lead,15,Tier 3,1629150
16,Finance,Associate,14,Tier 3,1245773
17,Operations,Analyst,18,Tier 2,1489899
18,Finance,Senior Dev,19,Tier 1,2176551
19,HR,Lead,2,Tier 3,793556
20,Finance,Lead,18,Tier 3,1791606
21,HR,Senior Dev,8,Tier 1,1334502
22,Marketing,Intern,17,Tier 3,1200627
23,Operations,Intern,13,Tier 3,958433
24,Support,Analyst,8,Tier 2,851897
25,HR,Associate,1,Tier 2,534707
26,HR,Manager,14,Tier 2,1907483
27,Marketing,Lead,6,Tier 2,1184555
28,Support,Lead,7,Tier 3,1134974
29,Operations,Lead,2,Tier 1,1009541
30,Sales,Associate,16,Tier 3,1356531
31,Support,Director,17,Tier 2,2415943
32,IT,Analyst,3,Tier 2,517457
33,Sales,Associate,5,Tier 1,888573
34,Operations,Lead,9,Tier 3,1262995
35,Operations,Lead,17,Tier 3,1696873
36,Finance,Senior Dev,11,Tier 2,1356161
37,HR,Director,9,Tier 3,1736557
38,Sales,Associate,3,Tier 3,582606
39,Sales,Lead,15,Tier 2,1741534
40,Finance,Intern,7,Tier 2,692397
41,Sales,Lead,7,Tier 1,1394276
42,Marketing,Director,15,Tier 3,2094300
43,Finance,Senior Dev,17,Tier 1,2012262
44,Operations,Analyst,12,Tier 3,1029976
45,Marketing,Senior Dev,14,Tier 1,1819216
46,Finance,Intern,6,Tier 3,532568
47,Marketing,Associate,0,Tier 2,412027
48,Operations,Associate,7,Tier 1,1053839
49,Sales,Associate,10,Tier 1,1242002
50,IT,Associate,16,Tier 2,1499159
51,Sales,Senior Dev,2,Tier 3,702666
52,HR,Analyst,4,Tier 2,567561
53,Support,Manager,6,Tier 1,1583952
54,HR,Analyst,6,Tier 2,704392
55,Operations,Associate,7,Tier 1,1008067
56,Operations,Lead,1,Tier 1,972256
57,HR,Senior Dev,15,Tier 2,1655222
58,Support,Associate,4,Tier 3,640818
59,Sales,Senior Dev,11,Tier 2,1366965
60,HR,Manager,2,Tier 1,1250056
61,Marketing,Associate,2,Tier 1,667716
62,Marketing,Analyst,14,Tier 2,1237773
63,HR,Senior Dev,2,Tier 2,814992
64,Support,Senior Dev,4,Tier 1,1076537
65,Marketing,Senior Dev,13,Tier 3,1375446
66,Finance,Intern,8,Tier 3,650206
67,Operations,Associate,14,Tier 3,1232361
68,IT,Senior Dev,9,Tier 2,1247419
69,Support,Director,12,Tier 3,1947010
70,HR,Senior Dev,6,Tier 2,1082560
71,Marketing,Associate,19,Tier 2,1718268
72,Support,Intern,3,Tier 3,368141
73,IT,Associate,4,Tier 3,650342
74,IT,Lead,6,Tier 1,1351044
75,Marketing,Intern,14,Tier 2,1166394
76,Support,Senior Dev,3,Tier 3,805820
77,HR,Manager,6,Tier 1,1554914
78,HR,Analyst,18,Tier 1,1747309
79,Marketing,Intern,1,Tier 1,338689
80,HR,Manager,12,Tier 2,1794557
81,Finance,Intern,5,Tier 2,549467
82,Support,Intern,11,Tier 3,833627
83,Operations,Analyst,19,Tier 3,1458925
84,Marketing,Associate,10,Tier 1,1238047
85,Marketing,Director,6,Tier 2,1745581
86,HR,Intern,0,Tier 1,250080
87,IT,Senior Dev,19,Tier 2,1939016
88,Marketing,Associate,2,Tier 1,660294
89,Operations,Analyst,5,Tier 3,591959
90,Operations,Manager,8,Tier 1,1748565
91,Finance,Lead,4,Tier 3,941968
92,Support,Manager,18,Tier 3,1963545
93,Support,Intern,11,Tier 2,916663
